symbol,fullTimeEmployees,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,trailingPE,volume,regularMarketVolume,bid,ask,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,enterpriseValue,profitMargins,sharesOutstanding,heldPercentInsiders,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,netIncomeToCommon,trailingEps,enterpriseToRevenue,enterpriseToEbitda,SandP52WeekChange,firstTradeDateEpochUtc,gmtOffSetMilliseconds,totalCash,totalCashPerShare,ebitda,totalDebt,totalRevenue,debtToEquity,revenuePerShare,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,currentPrice,fairPrice
RNFT.ME,7978,86400,2,88.4,89.0,88.0,91.0,88.4,89.0,88.0,91.0,22.2,130338,130338,89.0,88.8,26117857280,88.0,97.2,0.08803208,97.2,97.2,115064348672,0.06613,294120000,0.5858,294120000,425.31,0.20878889,1640908800,1672444800,1696032000,19618392064,4.0,0.388,1.964,0.2526338,1495693800,10800000,4357199872,14.814,58572808192,93303685120,296685666304,74.588,916.228,0.772,0.37702,0.19742,0.33988,88.8,86.19310000000004
SFIN.ME,2553,86400,2,605.4,614.2,604.0,615.0,605.4,614.2,604.0,615.0,8.88374,950,950,613.6,615.2,30188382208,462.0,615.0,1.0311316,462.0,462.0,182218031104,0.5807,49198800,0.84556997,49198800,1544.155,0.3973694,1672444800,1703980800,1688083200,17001135104,69.07,6.224,0.0,0.2526338,1449815400,10800000,26392715264,552.044,0,179781255168,29276942336,245.206,608.764,1.062,1.0,0.0,0.77732,613.6,608.1609999999997
MAGN.ME,0,86400,2,32.25,32.23,31.4,32.28,32.25,32.23,31.4,32.28,1.8051575,10056960,10056960,32.155,31.5,351990448128,31.4,45.005,0.46108863,45.005,45.005,259090399232,0.15481,11174299648,0.0,11174299648,59.245,0.5316904,1703980800,1735603200,1703980800,118176997376,17.45,0.339,1.334,0.2526338,1267597800,10800000,166712999936,14.919,194255994880,72521998336,763390001152,10.933,68.316,0.384,0.3644,0.25445998,0.18661,31.5,32.11439999999999
RUAL.ME,49493,86400,2,55.9,56.0,54.75,56.285,55.9,56.0,54.75,56.285,4.2104073,2574080,2574080,56.275,55.8,848225239040,54.75,63.125,69.45265,63.125,63.125,853929033728,0.02309,15192999936,0.824,15192999936,0.725,77.0069,1703980800,1735603200,1703980800,282000000,13.26,69.92,1091.981,0.2526338,1427697000,10800000,2212000000,0.146,782000000,7914999808,12213000192,71.85,0.804,-0.081,0.14476,0.06403,0.0292,55.83,58.418699999999966
VTBR.ME,0,86400,4,0.018735,0.01885,0.01862,0.01894,0.018735,0.01885,0.01862,0.01894,0.9415,1387610816,1387610816,0.01883,0.0186,244001013760,0.01862,0.01917,0.25453892,0.01917,0.01917,1588003471360,0.43875998,12958099832832,0.0,12958099832832,0.063,0.29888886,1703980800,1735603200,1703980800,420599988224,0.02,1.657,0.0,0.2526338,1267597800,10800000,2198400008192,0.083,0,3244499927040,958599987200,0.0,0.044,0.0,0.0,0.0,0.3206,0.01883,0.4479706000000002
NVTK.ME,0,86400,2,998.0,998.0,981.0,1002.8,998.0,998.0,981.0,1002.8,6.8843594,696610,696610,990.4,981.4,2974640766976,981.0,1010.8,2.168883,1010.8,1010.8,0,0.33761,2995610112,0.0,2995610112,798.935,1.2429047,1703980800,1735603200,1703980800,463031009280,144.24,0.0,0.0,0.2526338,1321853400,10800000,157661003776,0.0,442874003456,224361005056,1371508047872,8.611,0.0,0.0,0.44109002,0.32291,0.30188,993.0,954.188
CHMF.ME,0,86400,2,823.8,822.4,811.0,822.6,823.8,822.4,811.0,822.6,2.691879,229769,229769,820.6,800.0,688102375424,811.0,1150.6,0.94478804,1150.6,1150.6,512958103552,0.26618,837718976,0.7685,837718976,731.346,1.1231346,1703980800,1735603200,1703980800,193860993024,305.14,0.704,2.006,0.2526338,1267597800,10800000,376451006464,449.376,255653003264,200140996608,728314019840,32.605,869.11,0.274,0.43794,0.35102,0.32055,821.4,814.2019999999998
MTLR.ME,0,86400,2,121.57,121.6,121.23,123.72,121.57,121.6,121.23,123.72,0.6126601,1155333,1155333,122.04,120.98,63446433792,121.23,135.88,0.15631667,135.88,135.88,317627432960,0.05499,404776000,0.0,520265984,-192.956,0.0,1703980800,1735603200,1703980800,22321000448,199.05,0.783,3.92,0.2526338,1267597800,10800000,7226999808,17.854,81022001152,257872003072,405884010496,0.0,1002.737,0.142,0.38322,0.19962,0.18281999,121.95,121.29550000000016
ROSN.ME,0,86400,2,364.95,343.0,343.0,356.5,364.95,343.0,343.0,356.5,3.7783756,5692617,5692617,357.6,354.0,3336400273408,343.0,399.6,0.36411658,399.6,399.6,0,0.16687,9500000256,0.8821,9500000256,885.684,0.3965297,1703980800,1735603200,1703980800,1528999968768,92.95,0.0,0.0,0.2526338,1267597800,10800000,0,0.0,2951000096768,0,9163000250368,0.0,964.526,0.0,0.92633003,0.32206002,0.15837,351.2,357.0715
LKOH.ME,0,86400,2,3956.0,3959.5,3902.5,3980.0,3956.0,3959.5,3902.5,3980.0,3.4640048,359490,359490,3981.0,3911.0,2543495413760,3902.5,4415.5,0.27442408,4415.5,4415.5,2091355078656,0.083450004,650344000,0.0,650344000,8699.237,0.44957966,1640908800,1672444800,1688083200,773441978368,1129.04,0.226,1.548,0.2526338,1267597800,10800000,1020063973376,1473.366,1351236976640,387902013440,9268484898816,6.424,14207.514,0.0,0.31672,0.14579001,0.16414,3911.0,4064.42
