symbol,sell_1d,neutral_1d,buy_1d,recommendation_1d,sell_1h,neutral_1h,buy_1h,recommendation_1h
MOEX:ABIO,6,8,12,BUY,12,10,4,SELL
MOEX:ABRD,5,8,13,BUY,10,9,7,SELL
MOEX:AFKS,3,10,13,BUY,1,9,16,STRONG_BUY
MOEX:AFLT,4,8,14,BUY,7,9,10,NEUTRAL
MOEX:AGRO,5,9,12,BUY,14,10,2,SELL
MOEX:AKRN,11,9,6,SELL,2,10,14,BUY
MOEX:ALRS,6,9,11,BUY,11,10,5,SELL
MOEX:AMEZ,14,9,3,SELL,15,10,1,SELL
MOEX:APTK,14,9,3,SELL,14,10,2,SELL
MOEX:AQUA,7,9,10,NEUTRAL,14,10,2,SELL
MOEX:ASTR,8,9,7,NEUTRAL,12,10,4,SELL
MOEX:BANE,3,9,14,BUY,8,10,8,NEUTRAL
MOEX:BANEP,5,7,14,BUY,1,9,16,STRONG_BUY
MOEX:BELU,3,10,13,BUY,12,7,7,SELL
MOEX:BLNG,8,9,9,NEUTRAL,14,10,2,SELL
MOEX:BSPB,0,9,17,STRONG_BUY,3,9,14,BUY
MOEX:CARM,10,10,6,SELL,14,10,2,SELL
MOEX:CBOM,7,10,9,NEUTRAL,9,9,8,NEUTRAL
MOEX:CHMF,5,10,11,BUY,8,10,8,NEUTRAL
MOEX:CHMK,15,10,1,SELL,16,10,0,STRONG_SELL
MOEX:CIAN,2,9,15,BUY,7,9,10,NEUTRAL
MOEX:CNTL,14,9,3,SELL,16,9,1,STRONG_SELL
MOEX:CNTLP,16,9,1,STRONG_SELL,15,10,1,SELL
MOEX:DELI,3,7,7,BUY,12,9,5,SELL
MOEX:DIAS,3,7,7,BUY,13,8,5,SELL
MOEX:DSKY,15,9,2,SELL,18,8,0,STRONG_SELL
MOEX:DVEC,2,9,15,BUY,6,10,10,BUY
MOEX:ELFV,15,9,2,SELL,10,9,7,NEUTRAL
MOEX:ENPG,2,9,15,BUY,13,7,6,SELL
MOEX:ETLN,2,10,14,BUY,10,10,6,SELL
MOEX:EUTR,15,8,1,STRONG_SELL,14,9,3,SELL
MOEX:FEES,5,9,12,BUY,12,10,4,SELL
MOEX:FESH,3,10,13,BUY,2,8,16,BUY
MOEX:FIXP,7,10,9,NEUTRAL,13,8,5,SELL
MOEX:FLOT,10,9,7,SELL,13,9,4,SELL
MOEX:GAZP,7,7,12,BUY,11,9,6,SELL
MOEX:GCHE,3,9,14,BUY,7,6,13,BUY
MOEX:GECO,2,9,15,BUY,11,8,7,SELL
MOEX:GEMC,1,9,16,STRONG_BUY,5,6,15,BUY
MOEX:GLTR,0,10,16,STRONG_BUY,8,9,9,NEUTRAL
MOEX:GMKN,5,7,14,BUY,6,10,10,BUY
MOEX:GTRK,14,10,2,SELL,15,9,2,SELL
MOEX:HHRU,0,9,17,STRONG_BUY,2,9,15,BUY
MOEX:HNFG,2,10,12,BUY,9,9,8,NEUTRAL
MOEX:HYDR,12,10,4,SELL,15,9,2,SELL
MOEX:IRAO,1,9,16,STRONG_BUY,10,8,8,NEUTRAL
MOEX:IRKT,13,9,4,SELL,15,9,2,SELL
MOEX:KAZT,15,10,1,SELL,16,9,1,STRONG_SELL
MOEX:KAZTP,15,9,2,SELL,16,10,0,STRONG_SELL
MOEX:KLSB,11,9,6,SELL,14,10,2,SELL
MOEX:KMAZ,15,9,2,SELL,14,9,3,SELL
MOEX:KRKNP,13,10,3,SELL,8,9,9,NEUTRAL
MOEX:KROT,12,9,5,SELL,13,8,5,SELL
MOEX:KZOS,4,10,12,BUY,10,10,6,SELL
MOEX:KZOSP,4,8,14,BUY,8,9,9,NEUTRAL
MOEX:LENT,1,9,16,STRONG_BUY,2,10,14,BUY
MOEX:LIFE,3,9,14,BUY,9,10,7,NEUTRAL
MOEX:LKOH,4,8,14,BUY,0,10,16,STRONG_BUY
MOEX:LNZL,0,9,17,STRONG_BUY,5,10,11,BUY
MOEX:LNZLP,0,10,16,STRONG_BUY,4,7,15,BUY
MOEX:LSNG,2,10,14,BUY,12,10,4,SELL
MOEX:LSNGP,13,8,5,SELL,12,10,4,SELL
MOEX:LSRG,5,6,15,BUY,4,10,12,BUY
MOEX:MAGN,4,7,15,BUY,1,9,16,STRONG_BUY
MOEX:MDMG,1,9,16,STRONG_BUY,1,9,16,STRONG_BUY
MOEX:MGKL,2,9,11,BUY,3,10,13,BUY
MOEX:MGNT,1,10,15,BUY,1,10,15,BUY
MOEX:MGTSP,8,10,8,NEUTRAL,9,10,7,NEUTRAL
MOEX:MOEX,1,10,15,BUY,2,10,14,BUY
MOEX:MRKC,2,9,15,BUY,6,10,10,BUY
MOEX:MRKP,2,9,15,BUY,8,10,8,NEUTRAL
MOEX:MRKS,6,9,11,BUY,4,10,12,BUY
MOEX:MRKU,0,10,16,STRONG_BUY,1,10,15,BUY
MOEX:MRKV,3,9,14,BUY,10,10,6,SELL
MOEX:MRKY,4,10,12,BUY,11,9,6,SELL
MOEX:MRKZ,9,9,8,NEUTRAL,13,8,5,SELL
MOEX:MSNG,2,9,15,BUY,9,9,8,NEUTRAL
MOEX:MSRS,2,9,15,BUY,9,10,7,NEUTRAL
MOEX:MSTT,10,10,6,SELL,15,10,1,SELL
MOEX:MTLR,13,10,3,SELL,11,9,6,SELL
MOEX:MTLRP,11,10,5,SELL,3,9,14,BUY
MOEX:MTSS,3,8,15,BUY,4,10,12,BUY
MOEX:MVID,7,9,10,NEUTRAL,12,10,4,SELL
MOEX:NKHP,8,9,9,NEUTRAL,14,10,2,SELL
MOEX:NKNC,11,8,7,SELL,13,10,3,SELL
MOEX:NKNCP,3,9,14,BUY,2,9,15,BUY
MOEX:NLMK,1,10,15,BUY,2,9,15,BUY
MOEX:NMTP,4,9,13,BUY,15,9,2,SELL
MOEX:NSVZ,4,10,12,BUY,13,11,2,SELL
MOEX:NVTK,14,10,2,SELL,14,10,2,SELL
MOEX:OGKB,6,9,11,BUY,9,9,8,NEUTRAL
MOEX:OKEY,1,10,15,BUY,8,6,12,BUY
MOEX:OZON,5,10,11,BUY,12,10,4,SELL
MOEX:PHOR,3,8,15,BUY,4,9,13,BUY
