symbol,sell_1m,neutral_1m,buy_1m,recommendation_1m,own
MOEX:ABIO,1,9,14,STRONG_BUY,
MOEX:ABRD,3,9,12,BUY,
MOEX:AFKS,2,8,16,BUY,
MOEX:AFLT,6,10,10,BUY,
MOEX:AGRO,2,10,12,BUY,
MOEX:AKRN,7,8,11,BUY,
MOEX:ALRS,4,10,10,BUY,
MOEX:AMEZ,3,9,12,BUY,
MOEX:APTK,8,9,9,NEUTRAL,
MOEX:AQUA,1,10,13,BUY,
MOEX:BANE,1,8,15,STRONG_BUY,1
MOEX:BANEP,2,9,13,BUY,
MOEX:BELU,0,9,15,STRONG_BUY,1
MOEX:BLNG,2,10,12,BUY,
MOEX:BSPB,1,8,15,STRONG_BUY,1
MOEX:CBOM,2,10,12,BUY,
MOEX:CHMF,6,6,14,BUY,
MOEX:CHMK,2,10,12,BUY,
MOEX:CIAN,1,6,8,BUY,
MOEX:CNTL,4,10,10,BUY,
MOEX:CNTLP,6,9,9,BUY,
MOEX:DSKY,12,8,2,SELL,
MOEX:DVEC,0,10,14,STRONG_BUY,
MOEX:ELFV,14,9,3,SELL,
MOEX:ENPG,4,8,9,BUY,
MOEX:ETLN,2,8,11,BUY,
MOEX:FEES,6,10,8,NEUTRAL,
MOEX:FESH,1,10,13,BUY,
MOEX:FIXP,7,7,3,SELL,
MOEX:FLOT,2,7,8,BUY,
MOEX:GAZP,13,10,3,SELL,
MOEX:GCHE,2,9,13,BUY,
MOEX:GECO,0,0,4,STRONG_BUY,
MOEX:GEMC,1,6,8,BUY,
MOEX:GLTR,0,7,10,STRONG_BUY,
MOEX:GMKN,4,10,12,BUY,
MOEX:GTRK,3,10,9,BUY,
MOEX:HHRU,0,7,10,STRONG_BUY,
MOEX:HYDR,12,9,3,SELL,
MOEX:IRAO,0,9,15,STRONG_BUY,
MOEX:IRKT,4,9,13,BUY,
MOEX:KAZT,5,10,9,BUY,
MOEX:KAZTP,4,10,10,BUY,
MOEX:KLSB,2,10,14,BUY,
MOEX:KMAZ,4,9,13,BUY,
MOEX:KRKNP,13,10,1,SELL,
MOEX:KROT,2,10,14,BUY,
MOEX:KZOS,4,9,11,BUY,
MOEX:KZOSP,5,9,10,BUY,
MOEX:LENT,1,4,8,STRONG_BUY,
MOEX:LIFE,12,8,4,SELL,
MOEX:LKOH,0,10,16,STRONG_BUY,1
MOEX:LNZL,1,8,15,STRONG_BUY,
MOEX:LNZLP,1,9,14,STRONG_BUY,
MOEX:LSNG,0,10,16,STRONG_BUY,1
MOEX:LSNGP,2,10,14,BUY,
MOEX:LSRG,0,10,14,STRONG_BUY,1
MOEX:MAGN,2,9,15,BUY,
MOEX:MDMG,2,6,9,BUY,
MOEX:MGNT,3,8,15,BUY,
MOEX:MGTSP,4,9,13,BUY,
MOEX:MOEX,1,9,14,STRONG_BUY,
MOEX:MRKC,1,10,13,BUY,
MOEX:MRKP,1,9,14,STRONG_BUY,
MOEX:MRKS,1,10,13,BUY,
MOEX:MRKU,1,10,13,BUY,
MOEX:MRKV,0,9,15,STRONG_BUY,
MOEX:MRKY,1,9,14,STRONG_BUY,
MOEX:MRKZ,2,10,12,BUY,
MOEX:MSNG,3,9,14,BUY,
MOEX:MSRS,1,9,16,STRONG_BUY,
MOEX:MSTT,3,9,12,BUY,
MOEX:MTLR,2,10,12,BUY,
MOEX:MTLRP,1,10,13,BUY,
MOEX:MTSS,0,10,16,STRONG_BUY,
MOEX:MVID,9,9,6,SELL,
MOEX:NKHP,3,10,11,BUY,
MOEX:NKNC,8,7,9,NEUTRAL,
MOEX:NKNCP,8,9,7,NEUTRAL,
MOEX:NLMK,1,10,15,BUY,
MOEX:NMTP,1,10,13,BUY,
MOEX:NSVZ,2,10,12,BUY,
MOEX:NVTK,10,10,6,SELL,
MOEX:OGKB,13,9,4,SELL,
MOEX:OKEY,3,6,8,BUY,
MOEX:OZON,3,5,9,BUY,
MOEX:PHOR,6,9,9,BUY,
MOEX:PIKK,4,8,14,BUY,
MOEX:PLZL,0,10,16,STRONG_BUY,
MOEX:PMSB,0,9,17,STRONG_BUY,
MOEX:PMSBP,1,9,16,STRONG_BUY,
MOEX:POLY,11,9,4,SELL,
MOEX:POSI,2,5,6,BUY,
MOEX:PRFN,1,10,13,BUY,
MOEX:QIWI,14,8,2,SELL,
MOEX:RASP,2,10,14,BUY,
MOEX:RBCM,1,9,14,STRONG_BUY,
MOEX:RENI,1,6,8,BUY,
MOEX:RKKE,0,9,15,STRONG_BUY,
MOEX:RNFT,1,9,12,BUY,
