Ticker,Recommend.Other,Recommend.All,Recommend.MA,RSI,RSI[1],Stoch.K,Stoch.D,Stoch.K[1],Stoch.D[1],CCI20,CCI20[1],ADX,ADX+DI,ADX-DI,ADX+DI[1],ADX-DI[1],AO,AO[1],Mom,Mom[1],MACD.macd,MACD.signal,Rec.Stoch.RSI,Stoch.RSI.K,Rec.WR,W.R,Rec.BBPower,BBPower,Rec.UO,UO,close,EMA5,SMA5,EMA10,SMA10,EMA20,SMA20,EMA30,SMA30,EMA50,SMA50,EMA100,SMA100,EMA200,SMA200,Rec.Ichimoku,Ichimoku.BLine,Rec.VWMA,VWMA,Rec.HullMA9,HullMA9,Pivot.M.Classic.S3,Pivot.M.Classic.S2,Pivot.M.Classic.S1,Pivot.M.Classic.Middle,Pivot.M.Classic.R1,Pivot.M.Classic.R2,Pivot.M.Classic.R3,Pivot.M.Fibonacci.S3,Pivot.M.Fibonacci.S2,Pivot.M.Fibonacci.S1,Pivot.M.Fibonacci.Middle,Pivot.M.Fibonacci.R1,Pivot.M.Fibonacci.R2,Pivot.M.Fibonacci.R3,Pivot.M.Camarilla.S3,Pivot.M.Camarilla.S2,Pivot.M.Camarilla.S1,Pivot.M.Camarilla.Middle,Pivot.M.Camarilla.R1,Pivot.M.Camarilla.R2,Pivot.M.Camarilla.R3,Pivot.M.Woodie.S3,Pivot.M.Woodie.S2,Pivot.M.Woodie.S1,Pivot.M.Woodie.Middle,Pivot.M.Woodie.R1,Pivot.M.Woodie.R2,Pivot.M.Woodie.R3,Pivot.M.Demark.S1,Pivot.M.Demark.Middle,Pivot.M.Demark.R1,open,P.SAR,BB.lower,BB.upper,AO[2],volume,change,low,high
MOEX:ABIO,-0.2727272727272727,-0.203030303030303,-0.13333333333333333,46.910541061607425,52.03205453286401,16.02796696224713,16.082512455991644,18.297533810660234,15.802367228067476,-102.65358926528951,24.923575208067607,46.55380275467897,29.04451684954279,11.42874194767205,30.274317991672365,9.712536708217309,-0.6138235294116612,-0.0984705882351875,-2.519999999999996,-0.45999999999999375,0.1663080080652719,0.6533009917886928,0,20.766496008848826,0,-91.05691056910572,0,-0.5653214460732414,-1,27.64788159785571,111.28,112.0019412509747,111.92799999999997,112.38440605243619,112.25399999999995,112.56767772266187,113.29799999999993,112.1176271020882,113.53066666666676,110.94015406145535,109.99040000000008,109.14416579124845,107.85040000000005,106.82886875451426,108.83620000000013,0,120.69999999999999,-1,113.86842804200991,-1,111.82451851851852,74.02000000000002,95.9,103.91999999999999,117.77999999999999,125.79999999999997,139.65999999999997,161.53999999999996,95.9,104.25816,109.42183999999999,117.77999999999999,126.13815999999998,131.30183999999997,139.65999999999997,105.923,107.92866666666667,109.93433333333333,117.77999999999999,113.94566666666667,115.95133333333332,117.957,79.62000000000002,94.69000000000001,101.5,116.57,123.37999999999998,138.45,145.25999999999996,110.85,121.24499999999999,132.72999999999996,113.12,122.38543531739232,110.16888766579203,116.42711233420783,-0.023647058823414113,250830,-1.5221238938053088,111.24,113.28
MOEX:ABRD,-0.09090909090909091,0.4212121212121212,0.9333333333333333,60.7036148899955,55.62311022483827,32.075471698113176,31.65618448637313,28.930817610062856,36.054271119378726,41.99597086626284,-27.249374044811727,31.18576318624052,24.68720389153478,15.180337391584812,21.593201230063215,16.590246188753124,11.840588235294092,13.195294117647109,-1.400000000000034,2.1999999999999886,5.451498264094994,6.677137070835551,0,15.666209201118802,0,-51.88679245283022,1,4.558481533325107,0,46.79222449760193,298.2,295.8221409571855,295.36000000000007,295.4669054006191,296.6,292.0302979955276,295.26000000000005,288.05988689945025,286.8733333333335,282.93029187846724,275.79200000000003,280.4007792323631,274.00200000000024,278.81378317813466,293.3330000000002,0,281.7,1,296.3142617892618,1,294.1370370370369,176.5333333333333,231.5333333333333,263.8666666666666,286.5333333333333,318.8666666666666,341.5333333333333,396.5333333333333,231.5333333333333,252.5433333333333,265.5233333333333,286.5333333333333,307.5433333333333,320.5233333333333,341.5333333333333,281.075,286.1166666666667,291.1583333333333,286.5333333333333,301.2416666666667,306.2833333333333,311.325,212.50000000000006,233.35000000000002,267.50000000000006,288.35,322.50000000000006,343.35,377.50000000000006,275.2,292.2,330.2,293.8,306.40426130483047,286.3093799097601,304.21062009024,14.872352941176473,148270,1.7747440273037505,292,302
MOEX:AFKS,-0.09090909090909091,0.2212121212121212,0.5333333333333333,60.683869704071455,62.85132618581849,54.95094075937792,61.57192064182428,63.28597092928302,66.31008764766723,26.006226735126766,35.475695133954765,62.56438249059858,27.31009027815886,10.892039820631496,28.07251993872167,11.196118428160746,1.8085529411765258,1.9896117647059377,-1.3030000000000008,-0.37400000000000233,0.9478129383673846,1.1658052326022426,0,3.3995448329214266,0,-59.10602142593281,1,0.11406549393311849,0,50.9109023603598,25.537,25.658794236342214,25.71139999999998,25.61981205448224,25.808899999999987,25.047284485961434,25.223999999999993,24.29025044425378,24.52966666666667,22.93275621083725,22.34214,20.869440738205622,19.60477000000001,19.048218700155804,18.478904999999994,0,24.849,1,25.142998654941522,-1,25.54463703703703,15.995666666666665,20.571666666666665,23.15833333333333,25.147666666666666,27.734333333333332,29.723666666666666,34.29966666666667,20.571666666666665,22.319698666666667,23.399634666666664,25.147666666666666,26.895698666666668,27.975634666666664,29.723666666666666,24.4866,24.906066666666668,25.325533333333333,25.147666666666666,26.16446666666667,26.583933333333334,27.003400000000003,18.875,20.718,23.451,25.294,28.027,29.87,32.603,24.153000000000006,25.645000000000003,28.729000000000006,25.65,27.021539200000003,23.169422963235455,27.27857703676453,2.198914705882409,14332000,-0.6883409815664604,25.4,25.704
MOEX:AFLT,-0.09090909090909091,0.08787878787878788,0.26666666666666666,57.437258573603856,57.437258573603856,48.69281045751632,60.64814814814816,59.64052287581702,71.13289760348589,8.711491248902327,-8.816756569201424,44.79642048931032,26.223926119488162,15.48868722010362,26.44954635005469,16.050159370428492,3.0083823529415525,3.58255882352978,-0.030000000000001137,0.6400000000000006,1.4450054311926124,1.7910807910752633,0,0,0,-54.65686274509799,1,0.118069260984619,0,55.61810435724471,50.25,50.64115490299369,50.94199999999999,50.59866903753119,50.78100000000001,49.740393330224265,50.33399999999995,48.56857441553553,49.071000000000005,46.50186266600355,45.322999999999986,43.64235285894594,41.48670000000002,41.28064228087427,41.33775000000001,0,48.76,-1,50.522266331474974,-1,50.453555555555546,34.823333333333345,42.26333333333334,46.926666666666684,49.70333333333334,54.36666666666668,57.14333333333334,64.58333333333334,42.26333333333334,45.105413333333345,46.86125333333334,49.70333333333334,52.54541333333334,54.301253333333335,57.14333333333334,49.544000000000004,50.226000000000006,50.908,49.70333333333334,52.272000000000006,52.954,53.636,40.160000000000004,42.6,47.6,50.04,55.04,57.48,62.48,48.315000000000005,50.3975,55.755,50.25,49.217530762362884,48.46840197255107,52.199598027448836,4.056735294118013,3592030,0,50.15,50.8
MOEX:AGRO,0,0.4666666666666667,0.9333333333333333,62.53270484170904,61.37098431160811,76.33156966490299,78.17754262198709,76.26102292768961,81.50237711831916,65.75701874283111,78.50928499072545,27.7870914900737,24.463045543679517,14.722896318490756,25.238655916018715,15.189691471821384,94.2588235294129,105.5170588235303,90.39999999999986,97.40000000000009,36.03496842029858,31.046956522972522,0,57.758570885318846,0,-24.550264550264597,0,33.123284827075395,0,53.09023919038383,1552.6,1553.6969837410434,1558.480000000001,1539.926854249865,1548.2999999999977,1510.3315790251497,1493.839999999999,1490.012230212737,1478.6933333333352,1464.8160104739118,1447.3239999999987,1422.1492386542038,1418.072,1324.85773710501,1352.9740910169005,0,1504.5,1,1498.4667232392776,1,1552.0688888888883,1142.3999999999999,1331.3999999999999,1441.7999999999997,1520.3999999999999,1630.7999999999997,1709.3999999999999,1898.3999999999999,1331.3999999999999,1403.598,1448.2019999999998,1520.3999999999999,1592.598,1637.2019999999998,1709.3999999999999,1500.2250000000001,1517.55,1534.875,1520.3999999999999,1569.525,1586.8500000000001,1604.175,1268.6999999999998,1339.35,1457.6999999999998,1528.35,1646.6999999999998,1717.35,1835.6999999999998,1481.1,1540.05,1670.1,1540.6,1464.97495960063,1369.8016446416168,1617.8783553583812,114.32588235294202,37113,0.47890240745533674,1538.2,1555
MOEX:AKRN,0.2727272727272727,-0.26363636363636367,-0.8,26.880446129555978,22.8833622166036,12.593984613011097,11.600837938463195,9.193344820599757,13.524800165555424,-82.53297278256278,-68.21778546350397,28.57923769178728,14.98312048319972,19.746623957751765,15.540807177806172,20.481613004725208,-412.7176470588347,-457.05882352942353,-140,-550,-220.1393552459449,-215.00657305575652,0,20.6693797072121,1,-83.29048843187661,0,-227.45520511463837,0,42.09063571140712,16870,16873.411927557165,16855.599999999984,16950.197509817852,16924.800000000025,17112.46752423979,17149.899999999987,17260.429268774256,17230.86666666663,17505.4774234024,17619.039999999968,17914.04238379358,18079.60000000003,18217.19178081927,18597.09000000001,0,17201,-1,17178.383689638074,1,16794.585185185188,15223.333333333332,16145.333333333332,16472.666666666664,17067.333333333332,17394.666666666664,17989.333333333332,18911.333333333332,16145.333333333332,16497.537333333334,16715.12933333333,17067.333333333332,17419.537333333334,17637.12933333333,17989.333333333332,16546.45,16630.966666666667,16715.483333333334,17067.333333333332,16884.516666666666,16969.033333333333,17053.55,15487,16113.5,16409,17035.5,17331,17957.5,18253,16309,16985.5,17231,16828,17428.94465919185,16647.957413641852,17651.84258635812,-502.5470588235439,196,0.24958402662229617,16826,16946
MOEX:ALRS,-0.09090909090909091,0.35454545454545455,0.8,55.236117231377655,56.22447419728193,68.63753213367589,72.7290132425932,75.58461557567402,71.18638980995088,106.88202247191958,161.52815013406126,20.787354987323916,22.264827681742506,12.065742014361321,23.25917318921894,11.803008757471288,0.49126470588264226,0.36094117647087387,0.1700000000000017,1.4299999999999926,0.3843850251007268,0.33165605671275633,0,74.08188031064338,0,-41.1311053984578,0,0.8836265581131784,0,49.27199083927663,77.49,77.47860720520515,77.55999999999996,77.20068242093993,76.94999999999989,76.93680437161271,76.73250000000002,76.6036482158119,77.25399999999998,75.79101431382036,76.02320000000003,74.45242481406414,73.48039999999997,73.44164883850144,74.64620000000006,0,77.58500000000001,1,76.82713379738057,-1,78.17581481481481,67.98333333333335,72.75333333333334,75.07666666666668,77.52333333333334,79.84666666666668,82.29333333333334,87.06333333333333,72.75333333333334,74.57547333333335,75.70119333333334,77.52333333333334,79.34547333333335,80.47119333333333,82.29333333333334,76.08825,76.52550000000001,76.96275,77.52333333333334,77.83725000000001,78.2745,78.71175000000001,70.22500000000001,72.7125,74.995,77.4825,79.765,82.2525,84.535,73.91499999999999,76.9425,78.68499999999999,77.62,75.594389632,75.37879582257557,78.08620417742446,0.11870588235322543,3033520,-0.180342651036971,77.16,77.94
MOEX:AMEZ,-0.36363636363636365,-0.6484848484848484,-0.9333333333333333,37.87290469862053,42.639324783776715,4.448608351895364,8.595291607301718,8.259587020648981,11.701081612586032,-182.6473663655695,-129.89144823933975,23.30456040158473,17.188180416125853,18.383312786175697,18.526285286627626,13.798754651591423,-1.0155294117648168,-0.7977647058824573,-5.719999999999999,-1.480000000000004,-0.4589977474730773,-0.14489527423932613,0,0.25121315719411835,0,-96.68367346938768,0,-2.5196116758283296,-1,23.971688327909003,67.42,68.47790455493866,68.66000000000004,69.08932018787631,69.35200000000003,69.56775660407956,69.98799999999997,69.77205946751972,69.93266666666655,70.22439557193424,69.74119999999995,71.96215188736798,70.8306,72.34561047802845,78.57900000000001,0,71.08,-1,71.27588747826594,-1,68.00837037037039,57.25333333333333,64.03333333333333,66.62666666666667,70.81333333333333,73.40666666666667,77.59333333333333,84.37333333333333,64.03333333333333,66.62329333333334,68.22337333333333,70.81333333333333,73.40329333333334,75.00337333333333,77.59333333333333,67.35549999999999,67.977,68.5985,70.81333333333333,69.8415,70.463,71.0845,59.59,63.905,66.37,70.685,73.15,77.465,79.93,68.72,71.86,75.5,68.9,73.66049278746623,67.62327929766651,72.35272070233343,-0.5030588235295141,260600,-1.6627771295215876,67.16,68.92
MOEX:APTK,0,-0.4,-0.8,41.562633922797176,38.3790342799951,22.668810289389118,23.12089482507494,20.98139445406333,23.17553233951951,-82.85465066803762,-133.2008775197748,20.374982964008083,14.837091035284102,20.234982956238017,11.40186846910129,21.839363477884486,-0.4254235294117841,-0.4546058823529595,-0.5240000000000009,-0.5759999999999987,-0.15898660062830494,-0.11422460384889109,0,34.89426646749798,0,-70.57877813504825,0,-0.08137705412969254,0,36.60818755154007,14.024,14.01567169713142,14.019599999999997,14.113150090441929,14.124200000000021,14.253726806958252,14.315099999999962,14.336394902941624,14.439533333333328,14.435978098349134,14.436720000000001,14.580981545093195,14.53744000000002,14.575263606057275,15.277409999999998,0,14.625,-1,14.294062673863603,1,13.90294814814815,10.928666666666667,12.710666666666667,13.393333333333333,14.492666666666667,15.175333333333333,16.27466666666667,18.056666666666665,12.710666666666667,13.391390666666666,13.811942666666667,14.492666666666667,15.173390666666666,15.593942666666667,16.27466666666667,13.58595,13.7493,13.912650000000001,14.492666666666667,14.23935,14.402700000000001,14.56605,11.394999999999998,12.6025,13.176999999999998,14.3845,14.958999999999998,16.1665,16.741,13.052000000000001,14.322000000000001,14.834000000000001,13.928,14.948285281169088,13.831668143369166,14.798531856630758,-0.41354705882354637,2250890,0.6892590465249734,13.928,14.32
MOEX:AQUA,-0.09090909090909091,-0.24545454545454548,-0.4,45.94474111280646,52.41825694445393,35.633896060906984,26.145888247289548,28.00519818063678,18.912936546974915,-21.959247255099307,-9.755001123853285,13.668414944506441,21.146294038669833,16.22008649684181,22.78150222035395,17.47435914143652,-16.773529411764343,-18.70735294117617,-1.5,-2.5,-4.734908467632522,-3.427914636189799,0,46.86619704346373,0,-64.15094339622641,-1,9.556253299269201,0,47.495723983518076,901,900.7405357678593,898.0000000000002,902.0712159081877,898.9499999999992,906.7042918111049,909.3249999999995,908.2065512071216,917.5333333333348,907.2399619303962,909.4099999999993,900.0378470217594,893.4450000000006,863.5420168153078,903.8100000000004,0,925.5,-1,913.110133166122,-1,901.0462962962962,747.3333333333334,831.3333333333334,861.6666666666667,915.3333333333334,945.6666666666667,999.3333333333334,1083.3333333333335,831.3333333333334,863.4213333333333,883.2453333333334,915.3333333333334,947.4213333333333,967.2453333333334,999.3333333333334,868.9,876.6,884.3,915.3333333333334,899.7,907.4,915.1,764,824.5,848,908.5,932,992.5,1016,846.5,907.75,930.5,914.5,882,884.7337922215603,933.9162077784387,-19.84411764705851,92238,-1.2602739726027399,899,918
