date;categoryName;payee;comment;outcomeAccountName;outcome;outcomeCurrencyShortTitle;incomeAccountName;income;incomeCurrencyShortTitle;createdDate;changedDate;qrCode
2024-05-30;"Еда / Фастфуд/обед/кофе";"VKUSVILL 4918_2";;"Тиньк";"146.31";RUB;"Тиньк";"0";RUB;"2024-05-30 10:53:23";"2024-05-30 13:09:37";
2024-05-29;"Проценты ";;"Кэшбэк за обычные покупки";"Тиньк";"0";RUB;"Тиньк";"367";RUB;"2024-05-29 22:41:32";"2024-05-29 22:53:57";
2024-05-29;"Проценты ";;"Кэшбэк за покупки в Городе";"Тиньк";"0";RUB;"Тиньк";"228";RUB;"2024-05-29 22:41:01";"2024-05-30 13:10:43";
2024-05-29;"Проценты ";;"Проценты на остаток";"Тиньк";"0";RUB;"Тиньк";"210.43";RUB;"2024-05-29 22:42:17";"2024-05-29 22:53:57";
2024-05-29;;;;"Сбережения";"50000";RUB;"Тиньк";"50000";RUB;"2024-05-29 19:59:44";"2024-05-29 20:03:33";
2024-05-29;;;;"Pay card";"50000";RUB;"Saver";"50000";RUB;"2024-05-29 19:52:02";"2024-05-29 20:02:12";
2024-05-29;;;;"Тиньк";"49870.68";RUB;"Pay card";"49870.68";RUB;"2024-05-29 19:52:08";"2024-05-29 22:53:57";
2024-05-29;"Еда / Продукты";"VKUSVILL 2718_5";;"Pay card";"53.36";RUB;"Pay card";"0";RUB;"2024-05-29 19:35:18";"2024-05-29 20:02:12";
2024-05-29;"Еда / Продукты";"MAGNIT MM BOTEVGRAD";;"Pay card";"21.32";RUB;"Pay card";"0";RUB;"2024-05-29 19:45:52";"2024-05-29 20:02:12";
2024-05-29;"Еда / Продукты";"PEREKRESTOK DAVYDKOVO";;"Тиньк";"290.68";RUB;"Тиньк";"0";RUB;"2024-05-29 19:29:55";"2024-05-29 19:52:04";
2024-05-29;"Уборочка";"Алтынай К.";;"Тиньк";"5000";RUB;"Тиньк";"0";RUB;"2024-05-29 16:29:05";"2024-05-29 16:46:44";
2024-05-29;"Еда / Фастфуд/обед/кофе";"VKUSVILL";"Шава";"Тиньк";"498";RUB;"Тиньк";"0";RUB;"2024-05-29 13:27:46";"2024-05-30 10:08:06";
2024-05-28;"Подписки ";"Plus";;"Pay card";"100";RUB;"Pay card";"0";RUB;"2024-05-28 17:14:44";"2024-05-30 10:03:49";
2024-05-28;"Озонинг";"Перевод по запросу самому себе";;"Тиньк";"2000";RUB;"Тиньк";"0";RUB;"2024-05-28 23:46:28";"2024-05-29 08:13:24";
